pais,nome_fonte,nome_padrao
RUS,Akhmat Grozny,Akhmat Grozny
RUS,Akron Togliatti,Akron Togliatti
RUS,Amkar,Amkar
RUS,Arsenal Tula,Arsenal Tula
RUS,Baltika,Baltika
RUS,CSKA Moscow,CSKA Moscow
RUS,Dynamo Makhachkala,Dynamo Makhachkala
RUS,Dynamo Moscow,Dynamo Moscow
RUS,FK Anzi Makhackala,FK Anzi Makhackala
RUS,FK Rostov,FK Rostov
RUS,Fakel Voronezh,Fakel Voronezh
RUS,Khimki,Khimki
RUS,Krasnodar,Krasnodar
RUS,Krylya Sovetov,Krylya Sovetov
RUS,Kuban,Kuban
RUS,Lokomotiv Moscow,Lokomotiv Moscow
RUS,M. Saransk,M. Saransk
RUS,Orenburg,Orenburg
RUS,Pari NN,Pari NN
RUS,R. Volgograd,R. Volgograd
RUS,Rodina Moscow,Rodina Moscow
RUS,Rubin Kazan,Rubin Kazan
RUS,SKA Khabarovsk,SKA Khabarovsk
RUS,Sochi,Sochi
RUS,Spartak Moscow,Spartak Moscow
RUS,Spartak Nalchik,Spartak Nalchik
RUS,T. Moscow,T. Moscow
RUS,Tambov,Tambov
RUS,Tomsk,Tomsk
RUS,Torpedo Moscow,Torpedo Moscow
RUS,Tosno,Tosno
RUS,Ufa,Ufa
RUS,Ural,Ural
RUS,Vladikavkaz,Vladikavkaz
RUS,Volga N. Novgorod,Volga N. Novgorod
RUS,Volgar-Astrakhan,Volgar-Astrakhan
RUS,Yenisey,Yenisey
RUS,Zenit,Zenit
SCO,Aberdeen,Aberdeen
SCO,Airdrie Utd,Airdrie Utd
SCO,Albion Rvs,Albion Rvs
SCO,Alloa,Alloa
SCO,Annan Athletic,Annan Athletic
SCO,Arbroath,Arbroath
SCO,Ayr,Ayr
SCO,Bonnyrigg Rose,Bonnyrigg Rose
SCO,Brechin,Brechin
SCO,Celtic,Celtic
SCO,Clyde,Clyde
SCO,Cove Rangers,Cove Rangers
SCO,Cowdenbeath,Cowdenbeath
SCO,Dumbarton,Dumbarton
SCO,Dundee,Dundee
SCO,Dundee United,Dundee United
SCO,Dunfermline,Dunfermline
SCO,East Fife,East Fife
SCO,East Kilbride,East Kilbride
SCO,Edinburgh City,Edinburgh City
SCO,FC Edinburgh,Edinburgh City
SCO,Elgin,Elgin
SCO,Falkirk,Falkirk
SCO,Forfar,Forfar
SCO,Hamilton,Hamilton
SCO,Hearts,Hearts
SCO,Hibernian,Hibernian
SCO,Inverness C,Inverness C
SCO,Kelty Hearts,Kelty Hearts
SCO,Kilmarnock,Kilmarnock
SCO,Livingston,Livingston
SCO,Montrose,Montrose
SCO,Morton,Morton
SCO,Motherwell,Motherwell
SCO,Partick,Partick
SCO,Peterhead,Peterhead
SCO,Queen of Sth,Queen of Sth
SCO,Queens Park,Queens Park
SCO,Raith Rvs,Raith Rvs
SCO,Rangers,Rangers
SCO,Ross County,Ross County
SCO,Spartans,Spartans
SCO,St Johnstone,St Johnstone
SCO,St Mirren,St Mirren
SCO,Stenhousemuir,Stenhousemuir
SCO,Stirling,Stirling
SCO,Stranraer,Stranraer
SWE,AFC Eskilstuna,AFC Eskilstuna
SWE,AIK,AIK
SWE,Atvidabergs,Atvidabergs
SWE,Brage,Brage
SWE,Brommapojkarna,Brommapojkarna
SWE,Dalkurd,Dalkurd
SWE,Degerfors,Degerfors
SWE,Djurgarden,Djurgarden
SWE,Elfsborg,Elfsborg
SWE,Falkenbergs,Falkenbergs
SWE,GAIS,GAIS
SWE,Gefle,Gefle
SWE,Goteborg,Goteborg
SWE,Hacken,Hacken
SWE,Halmstad,Halmstad
SWE,Hammarby,Hammarby
SWE,Helsingborg,Helsingborg
SWE,Jonkopings,Jonkopings
SWE,Kalmar,Kalmar
SWE,Landskrona,Landskrona
SWE,Ljungskile,Ljungskile
SWE,Malmo FF,Malmo FF
SWE,Mjallby,Mjallby
SWE,Norrkoping,Norrkoping
SWE,Orebro,Orebro
SWE,Orgryte,Orgryte
SWE,Oster,Osters
SWE,Osters,Osters
SWE,Ostersunds,Ostersunds
SWE,Sirius,Sirius
SWE,Sundsvall,Sundsvall
SWE,Syrianska,Syrianska
SWE,Trelleborgs,Trelleborgs
SWE,Varberg,Varberg
SWE,Varnamo,Varnamo
SWE,Vasteras SK,Vasteras SK
SWZ,Aarau,Aarau
SWZ,Basel,Basel
SWZ,Grasshoppers,Grasshoppers
SWZ,Lausanne,Lausanne
SWZ,Lausanne Ouchy,Lausanne Ouchy
SWZ,Lugano,Lugano
SWZ,Luzern,Luzern
SWZ,Schaffhausen,Schaffhausen
SWZ,Servette,Servette
SWZ,Sion,Sion
SWZ,St. Gallen,St. Gallen
SWZ,Thun,Thun
SWZ,Vaduz,Vaduz
SWZ,Winterthur,Winterthur
SWZ,Xamax,Xamax
SWZ,Young Boys,Young Boys
SWZ,Yverdon,Yverdon
SWZ,Zurich,Zurich
TUR,Ad. Demirspor,Ad. Demirspor
TUR,Alanyaspor,Alanyaspor
TUR,Altay,Altay
TUR,Ankaragucu,Ankaragucu
TUR,Antalyaspor,Antalyaspor
TUR,Besiktas,Besiktas
TUR,Bodrumspor,Bodrumspor
TUR,Buyuksehyr,Buyuksehyr
TUR,Denizlispor,Denizlispor
TUR,Erzurum BB,Erzurum BB
TUR,Eyupspor,Eyupspor
TUR,Fenerbahce,Fenerbahce
TUR,Galatasaray,Galatasaray
TUR,Gaziantep,Gaziantep
TUR,Genclerbirligi,Genclerbirligi
TUR,Giresunspor,Giresunspor
TUR,Goztep,Goztep
TUR,Hatayspor,Hatayspor
TUR,Istanbulspor,Istanbulspor
TUR,Karagumruk,Karagumruk
TUR,Kasimpasa,Kasimpasa
TUR,Kayserispor,Kayserispor
TUR,Kocaelispor,Kocaelispor
TUR,Konyaspor,Konyaspor
TUR,Pendikspor,Pendikspor
TUR,Rizespor,Rizespor
TUR,Samsunspor,Samsunspor
TUR,Sivasspor,Sivasspor
TUR,Trabzonspor,Trabzonspor
TUR,Umraniyespor,Umraniyespor
TUR,Yeni Malatyaspor,Yeni Malatyaspor
USA,Atlanta Utd,Atlanta Utd
USA,Austin FC,Austin FC
USA,CF Montreal,CF Montreal
USA,Charlotte,Charlotte
USA,Chicago Fire,Chicago Fire
USA,Chivas USA,Chivas USA
USA,Colorado Rapids,Colorado Rapids
USA,Columbus Crew,Columbus Crew
USA,DC United,DC United
USA,FC Cincinnati,FC Cincinnati
USA,FC Dallas,FC Dallas
USA,Houston Dynamo,Houston Dynamo
USA,Inter Miami,Inter Miami
USA,Los Angeles FC,Los Angeles FC
USA,Los Angeles Galaxy,Los Angeles Galaxy
USA,Minnesota United,Minnesota United
USA,Nashville SC,Nashville SC
USA,New England Revolution,New England Revolution
USA,New York City,New York City
USA,New York Red Bulls,New York Red Bulls
USA,Orlando City,Orlando City
USA,Philadelphia Union,Philadelphia Union
USA,Portland Timbers,Portland Timbers
USA,Real Salt Lake,Real Salt Lake
USA,San Diego FC,San Diego FC
USA,San Jose Earthquakes,San Jose Earthquakes
USA,Seattle Sounders,Seattle Sounders
USA,Sporting Kansas City,Sporting Kansas City
USA,St. Louis City,St. Louis City
USA,Toronto FC,Toronto FC
USA,Vancouver Whitecaps,Vancouver Whitecaps
